a_name,forward_fw_inputsize,forward_fw_mean_time,forward_fw_stdvar_time,forward_op_after_cuda_byte_memory,forward_op_before_cuda_byte_memory,forward_op_used_cuda_byte_memory
strided_slice-19,776,4103.041559164886,0.0,139984896,139984896,0
strided_slice-39,776,3586.6531140692846,0.0,139984896,139984896,0
split-48,936,18768.701797811365,0.0,139984896,139984896,0
split-55,0,4607.142119360817,0.0,139984896,139984896,0
split-66,0,3590.7069199765533,0.0,139984896,139984896,0
split-83,0,4760.330773881499,0.0,139984896,139984896,0
split-201,0,4760.911710895539,0.0,139984896,139984896,0
split-212,0,3593.0748437499997,0.0,139984896,139984896,0
split-229,0,4772.695999390093,0.0,139984896,139984896,0
split-18,64,3569.319032661374,0.0,139984896,139984896,0
split-38,64,3567.650298119283,0.0,139984896,139984896,0
squeeze-46,64,6.41806949860787,0.0,139984896,139984896,0
squeeze-108,64,6.43624226150755,0.0,139984896,139984896,0
squeeze-132,64,6.465546894787555,0.0,139984896,139984896,0
squeeze-156,64,6.412647371412302,0.0,139984896,139984896,0
squeeze-180,64,6.4429183627692375,0.0,139984896,139984896,0
squeeze-53,64,6.452474012669792,0.0,139984896,139984896,0
split-64,64,7260.99199047516,0.0,139984896,139984896,0
squeeze-81,64,6.453663944319562,0.0,139984896,139984896,0
squeeze-199,64,6.375030871476292,0.0,139984896,139984896,0
split-210,64,7384.924645950677,0.0,139984896,139984896,0
squeeze-227,64,6.378162374750198,0.0,139984896,139984896,0
squeeze-16,64,6.415828099907342,0.0,139984896,139984896,0
squeeze-36,64,6.4093776489861805,0.0,139984896,139984896,0
split-52,64,12248.36114675043,0.0,139984896,139984896,0
squeeze-62,64,6.3981075920189765,0.0,139984896,139984896,0
squeeze-90,64,6.396947685915534,0.0,139984896,139984896,0
split-80,64,13101.359723661486,0.0,139984896,139984896,0
split-198,64,13278.362226951944,0.0,139984896,139984896,0
squeeze-208,64,6.405992822768531,0.0,139984896,139984896,0
squeeze-236,64,6.438821046131043,0.0,139984896,139984896,0
split-226,64,12445.900013281389,0.0,139984896,139984896,0
tuple-50,192,6.974002830466756,0.0,139984896,139984896,0
split-61,64,10759.120752507915,0.0,139984896,139984896,0
split-89,64,10822.579462299302,0.0,139984896,139984896,0
tuple-78,192,6.938226139474224,0.0,139984896,139984896,0
tuple-196,192,6.947667947853888,0.0,139984896,139984896,0
split-207,64,10727.159832725712,0.0,139984896,139984896,0
split-235,64,10726.000106033296,0.0,139984896,139984896,0
tuple-224,192,6.958795225919382,0.0,139984896,139984896,0
concatenate-49,192,4661.619240322626,0.0,139984896,139984896,0
tuple-59,192,6.9532810365060245,0.0,139984896,139984896,0
tuple-87,192,6.956108698188695,0.0,139984896,139984896,0
concatenate-77,192,4973.385729600513,0.0,139984896,139984896,0
concatenate-195,192,4974.7240412715455,0.0,139984896,139984896,0
tuple-205,192,6.96267670444188,0.0,139984896,139984896,0
tuple-233,192,6.953662799090696,0.0,139984896,139984896,0
concatenate-223,192,4962.836633420736,0.0,139984896,139984896,0
nn.dense-45,128,6270.151010563217,0.0,139984896,139984896,0
nn.dense-107,128,6209.3485804416405,0.0,139984896,139984896,0
nn.dense-131,128,6355.696455949621,0.0,139984896,139984896,0
nn.dense-155,128,6207.747447814441,0.0,139984896,139984896,0
nn.dense-179,128,6194.437775914372,0.0,139984896,139984896,0
concatenate-58,192,4683.087487384138,0.0,139984896,139984896,0
concatenate-86,192,4701.218304836621,0.0,139984896,139984896,0
nn.dense-76,128,6287.687068102155,0.0,139984896,139984896,0
concatenate-204,192,4715.302855203749,0.0,139984896,139984896,0
concatenate-232,192,4708.907996082936,0.0,139984896,139984896,0
nn.dense-222,128,6259.384003425058,0.0,139984896,139984896,0
add-44,128,4646.5156103667305,0.0,139984896,139984896,0
add-106,128,4653.522807219551,0.0,139984896,139984896,0
add-130,128,4658.437251460306,0.0,139984896,139984896,0
add-154,128,4666.819754556385,0.0,139984896,139984896,0
add-178,128,4638.720244056229,0.0,139984896,139984896,0
add-75,128,4654.563636870886,0.0,139984896,139984896,0
add-221,128,4663.155890917792,0.0,139984896,139984896,0
split-43,64,14035.725402169846,0.0,139984896,139984896,0
split-105,64,14036.268960691103,0.0,139984896,139984896,0
split-129,64,14008.583255769552,0.0,139984896,139984896,0
split-153,64,14039.293946057533,0.0,139984896,139984896,0
split-177,64,14037.478958956093,0.0,139984896,139984896,0
split-74,64,14031.810875274694,0.0,139984896,139984896,0
split-220,64,14056.538425015262,0.0,139984896,139984896,0
add-71,128,4539.722150499007,0.0,139984896,139984896,0
add-96,128,4522.14317743599,0.0,139984896,139984896,0
sigmoid-70,64,4997.300383770576,0.0,139984896,139984896,0
sigmoid-95,64,4995.345540398741,0.0,139984896,139984896,0
multiply-69,128,4454.481402753566,0.0,139984896,139984896,0
add-41,128,4485.013561587837,0.0,139984896,139984896,0
tanh-40,64,4864.262724989026,0.0,139984896,139984896,0
subtract-35,128,4396.24135992763,0.0,139984896,139984896,0
multiply-34,128,4418.890982824428,0.0,139984896,139984896,0
